Supplementary Data 1: CCLE cell lines profiled and radiation sensitivity data,,,,,,,
Master_ccl_id,Cell Line,Site,Histology,Subhistology,Culture_media,Snp_fp_status,AUC
3,5637,urinary_tract,carcinoma,NS,RPMI001,SNP-matched-reference,2.473
7,22RV1,prostate,carcinoma,NS,RPMI001,SNP-matched-reference,2.142
10,42MGBA,central_nervous_system,glioma,astrocytoma_Grade_IV,RPMIMEM001,SNP-matched-reference,3.38
15,647V,urinary_tract,carcinoma,transitional_cell_carcinoma,DMEM011,SNP-matched-reference,3.374
16,769P,kidney,carcinoma,clear_cell_renal_cell_carcinoma,RPMI001,SNP-matched-reference,3.123
19,786O,kidney,carcinoma,clear_cell_renal_cell_carcinoma,RPMI001,SNP-matched-reference,3.779
21,8505C,thyroid,carcinoma,anaplastic_carcinoma,EMEM001,SNP-matched-reference,3.471
22,8MGBA,central_nervous_system,glioma,astrocytoma_Grade_IV,EMEM005,SNP-matched-reference,2.625
23,A101D,skin,malignant_melanoma,NS,DMEM001,SNP-matched-reference,4.677
25,A172,central_nervous_system,glioma,astrocytoma_Grade_IV,DMEM001,SNP-matched-reference,2.751
26,A204,soft_tissue,rhabdoid_tumour,NS,MCCOYS5A001,SNP-matched-reference,1.955
27,A2058,skin,malignant_melanoma,NS,DMEM001,SNP-matched-reference,2.819
28,A253,salivary_gland,carcinoma,mucoepidermoid_carcinoma,MCCOYS5A001,SNP-matched-reference,1.367
29,A2780,ovary,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,0.943
33,A498,kidney,carcinoma,renal_cell_carcinoma,EMEM001,SNP-matched-reference,2.682
37,A673,bone,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,NS,DMEM001,SNP-matched-reference,1.388
41,ACCMESO1,pleura,mesothelioma,NS,RPMI001,SNP-matched-reference,3.238
43,ACHN,kidney,carcinoma,renal_cell_carcinoma,EMEM001,SNP-matched-reference,0.985
44,AGS,stomach,carcinoma,adenocarcinoma,F12K001,SNP-matched-reference,1.262
47,AM38,central_nervous_system,glioma,astrocytoma_Grade_IV,DMEM011,SNP-matched-reference,5.299
50,AN3CA,endometrium,carcinoma,adenocarcinoma,EMEM001,SNP-matched-reference,2.527
52,ASPC1,pancreas,carcinoma,ductal_carcinoma,RPMI001,SNP-matched-reference,3.047
53,AU565,breast,carcinoma,NS,DMEM001,SNP-matched-reference,3.775
55,BC3C,urinary_tract,carcinoma,transitional_cell_carcinoma,MCCOYS5A001,SNP-matched-reference,3.362
57,BCPAP,thyroid,carcinoma,papillary_carcinoma,RPMI001,SNP-matched-reference,2.954
59,BECKER,central_nervous_system,glioma,astrocytoma_Grade_IV,EMEM001,SNP-matched-reference,3.229
64,BHT101,thyroid,carcinoma,anaplastic_carcinoma,DMEM006,SNP-matched-reference,1.555
66,BICR16,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,DMEM013,SNP-matched-reference,3.476
67,BICR18,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,DMEM013,SNP-matched-reference,3.679
68,BICR22,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,DMEM013,SNP-matched-reference,1.31
69,BICR31,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,DMEM013,SNP-matched-reference,3.589
70,BICR56,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,DMEM013,SNP-matched-reference,3.431
71,BICR6,upper_aerodigestive_tract,carcinoma,squamous_cell_carcinoma,DMEM005,SNP-matched-reference,1.713
90,BT20,breast,carcinoma,ductal_carcinoma,EMEM001,SNP-matched-reference,3.487
97,BT474,breast,carcinoma,ductal_carcinoma,DMEM006,SNP-matched-reference,5.317
99,BT549,breast,carcinoma,ductal_carcinoma,RPMI001,SNP-matched-reference,3.05
101,BXPC3,pancreas,carcinoma,ductal_carcinoma,RPMI001,SNP-matched-reference,2.262
102,C2BBE1,large_intestine,carcinoma,adenocarcinoma,DMEM003,SNP-matched-reference,2.974
103,C32,skin,malignant_melanoma,NS,EMEM001,SNP-matched-reference,4.392
109,CAKI1,kidney,carcinoma,clear_cell_renal_cell_carcinoma,MCCOYS5A001,SNP-matched-reference,3.365
110,CAKI2,kidney,carcinoma,clear_cell_renal_cell_carcinoma,MCCOYS5A001,SNP-matched-reference,4.935
112,CAL12T,lung,carcinoma,non_small_cell_carcinoma,DMEM001,SNP-matched-reference,2.869
113,CAL148,breast,carcinoma,ductal_carcinoma,DMEM006,SNP-matched-reference,1.012
117,CAL51,breast,carcinoma,NS,DMEM006,SNP-matched-reference,2.646
118,CAL54,kidney,carcinoma,renal_cell_carcinoma,DMEM011,SNP-matched-reference,2.746
120,CAL78,bone,chondrosarcoma,dedifferentiated,RPMI003,SNP-matched-reference,3.7
122,CALU1,lung,carcinoma,squamous_cell_carcinoma,MCCOYS5A001,SNP-matched-reference,3.953
123,CALU3,lung,carcinoma,adenocarcinoma,EMEM001,SNP-matched-reference,1.775
125,CAMA1,breast,carcinoma,NS,EMEM001,SNP-matched-reference,3.945
126,CAOV3,ovary,carcinoma,adenocarcinoma,DMEM001,SNP-matched-reference,2.241
128,CAPAN1,pancreas,carcinoma,ductal_carcinoma,IMDM003,SNP-matched-reference,3.557
129,CAPAN2,pancreas,carcinoma,ductal_carcinoma,MCCOYS5A001,SNP-matched-reference,1.612
131,CCFSTTG1,central_nervous_system,glioma,astrocytoma,RPMI001,SNP-matched-reference,4.717
138,CFPAC1,pancreas,carcinoma,ductal_carcinoma,DMEM001,SNP-matched-reference,2.848
139,CGTHW1,thyroid,carcinoma,follicular_carcinoma,RPMI001,SNP-matched-reference,2.916
141,CHAGOK1,lung,carcinoma,NS,RPMI007,SNP-matched-reference,3.384
144,CHP212,autonomic_ganglia,neuroblastoma,NS,EMEM001,SNP-not-tested,1.833
146,CJM,skin,malignant_melanoma,NS,HAMSF10001,SNP-matched-reference,3.267
147,CL11,large_intestine,carcinoma,adenocarcinoma,DMEMF12006,SNP-matched-reference,2.588
149,CL34,large_intestine,carcinoma,adenocarcinoma,DMEM006,SNP-matched-reference,3.355
157,COLO320,large_intestine,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,1.901
158,COLO668,lung,carcinoma,small_cell_carcinoma,RPMI007,SNP-matched-reference,1.548
160,COLO678,large_intestine,carcinoma,adenocarcinoma,RPMI001,SNP-matched-reference,3.679
161,COLO679,skin,malignant_melanoma,NS,RPMI001,SNP-not-tested,4.315
